Diseases,Temperature,Weather,Region_Type,Air_Quality,Water_Quality,Humidity,time_delay,Risk_percent
Fungal infection,3,23,10,3,1,3,29,20
Fungal infection,1,24,1,1,2,2,28,14
Fungal infection,3,29,6,2,1,1,30,18
Fungal infection,1,22,12,3,3,2,29,10
Fungal infection,2,29,6,2,2,1,28,13
Fungal infection,1,27,18,1,3,2,30,13
Fungal infection,3,21,5,2,2,3,29,17
Fungal infection,2,29,20,3,3,2,28,11
Fungal infection,3,30,14,2,1,1,30,18
Fungal infection,2,26,8,3,3,3,28,13
Allergy,3,28,12,2,2,1,29,29
Allergy,2,30,7,3,1,2,30,30
Allergy,1,28,15,2,3,3,29,26
Allergy,3,26,10,1,2,2,30,34
Allergy,1,29,8,3,1,3,28,33
Allergy,3,23,4,2,2,2,30,29
Allergy,1,26,5,1,1,1,29,36
Allergy,3,24,20,2,3,2,28,26
Allergy,2,25,1,3,1,3,30,36
Allergy,3,29,11,1,2,1,29,34
GERD,1,27,9,2,3,2,30,22
GERD,2,21,16,1,1,3,28,48
GERD,1,30,11,2,3,1,30,22
GERD,3,26,9,3,2,2,28,26
GERD,1,21,3,2,1,1,30,30
GERD,2,20,19,3,2,3,28,29
GERD,1,27,4,2,3,1,29,22
GERD,3,20,3,1,1,2,28,43
GERD,2,24,16,3,3,1,29,22
GERD,1,21,19,1,1,3,30,43
Chronic cholestasis,2,26,9,2,3,2,28,24
Chronic cholestasis,1,27,16,3,2,3,30,26
Chronic cholestasis,2,21,12,1,1,2,28,40
Chronic cholestasis,1,26,10,2,3,1,29,22
Chronic cholestasis,2,25,6,1,1,2,28,40
Chronic cholestasis,3,27,7,2,3,3,29,31
Chronic cholestasis,1,29,18,1,1,1,28,36
Chronic cholestasis,2,21,2,3,2,2,30,24
Chronic cholestasis,3,23,15,1,1,3,28,52
Chronic cholestasis,1,30,8,2,2,1,30,24
Drug Reaction,3,25,6,1,3,3,28,37
Drug Reaction,1,23,5,3,2,2,29,22
Drug Reaction,2,21,1,2,3,1,30,24
Drug Reaction,3,27,11,3,1,3,29,40
Drug Reaction,2,30,16,1,2,2,28,31
Drug Reaction,1,21,11,3,3,1,29,20
Drug Reaction,2,28,9,1,1,2,30,40
Drug Reaction,1,26,18,3,3,3,28,24
Drug Reaction,2,30,14,2,2,2,30,26
Drug Reaction,3,20,15,3,3,3,29,28
Peptic ulcer diseae,1,21,9,1,1,2,30,36
Peptic ulcer diseae,2,23,10,2,3,3,29,29
Peptic ulcer diseae,1,26,5,1,1,1,28,36
Peptic ulcer diseae,3,28,14,3,3,3,29,28
Peptic ulcer diseae,1,23,9,2,1,2,30,30
Peptic ulcer diseae,3,21,7,3,3,3,28,28
Peptic ulcer diseae,2,26,14,1,1,2,29,40
Peptic ulcer diseae,1,29,10,3,2,1,28,22
Peptic ulcer diseae,2,28,13,2,1,3,29,40
Peptic ulcer diseae,3,24,9,1,2,1,30,34
AIDS,1,27,14,3,3,2,28,20
AIDS,2,22,10,1,2,1,29,31
AIDS,1,25,13,3,1,2,30,28
AIDS,2,20,1,1,3,3,28,34
AIDS,1,24,7,3,2,2,30,22
AIDS,3,25,17,2,1,1,28,36
AIDS,1,28,6,3,3,3,29,24
AIDS,3,30,1,1,1,2,28,43
AIDS,2,29,10,3,3,3,29,26
AIDS,1,25,7,1,1,1,28,36
Diabetes ,3,26,20,2,3,2,30,26
Diabetes ,2,27,11,3,2,1,29,24
Diabetes ,3,28,2,2,1,2,30,36
Diabetes ,2,25,12,3,2,3,28,29
Diabetes ,1,26,5,2,1,1,30,30
Diabetes ,3,27,19,1,3,3,29,37
Diabetes ,2,29,4,3,2,1,30,24
Diabetes ,3,25,6,2,3,2,28,26
Diabetes ,2,27,7,1,1,3,29,48
Diabetes ,3,30,12,2,3,1,30,26
Gastroenteritis,1,29,4,1,1,2,28,36
Gastroenteritis,2,27,17,3,3,1,29,22
Gastroenteritis,3,26,18,1,2,2,28,34
Gastroenteritis,2,29,4,2,3,3,29,29
Gastroenteritis,3,22,6,3,1,1,28,33
Gastroenteritis,2,25,14,1,2,2,30,31
